Jahr,Jahres-Fahrleistung Krafträder (in Mill. km),Jahres-Fahrleistung Pkw (in Mill. km),Jahres-Fahrleistung leichte Nutzfahrzeuge (in Mill. km),Jahres-Fahrleistung schwere Nutzfahrzeuge (in Mill. km)
2022,10,907,124,103
2021,9,878,121,108
2020,9,876,118,102
2019,11,"1,072",114,105
2018,11,"1,072",111,106
2017,11,"1,070",105,101
2016,10,"1,058",100,100
2015,10,"1,041",96,100
2014,-,-,-,-
2013,-,-,-,-
2012,-,-,-,-
2011,-,-,-,-
2010,11,994,55,90
2009,-,-,-,-
2008,-,-,-,-
2007,-,-,-,-
2006,-,-,-,-
2005,14,967,47,87
2004,-,-,-,-
2003,-,-,-,-
2002,-,-,-,-
2001,-,-,-,-
2000,13,886,38,76
1999,-,-,-,-
1998,-,-,-,-
1997,-,-,-,-
1996,-,-,-,-
1995,13,855,25,64
